id,ano,barrio,titulo,descripcion,direccion,longlat,presupuesto,tema,temaResumen,temaScrolli,subtema,beneficiarios,obrasOCampana,votos,estado
60,2014,FLORIDA ESTE,Campaña educativa en higiene urbana y reciclado,Campaña educativa en higiene urbana y reciclado,Ubicación random dentro del barrio,"-34.540453, -58.482192",   59969   ,AMBIENTE,AMBIENTE,AMBIENTE,RECICLADO,POBLACIÓN EN GENERAL,2,80,FINALIZADO
61,2014,FLORIDA ESTE,Colocación y/o reposición de árboles ,Colocación y/o reposición de árboles en el barrio,Ubicación random dentro del barrio,"-34.538757, -58.485025",   15553   ,AMBIENTE,AMBIENTE,AMBIENTE,ARBOLADO,POBLACIÓN EN GENERAL,1,53,FINALIZADO
62,2014,FLORIDA ESTE,Hospital Municipal Bernardo Houssay,Equipamiento: 2 sillas de rueda y 2 camas para Prog De Emergencia de Salud Mental,Pres. Hipólito Yrigoyen 1757,"-34.5238104,-58.4902366",   34540   ,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA SANITARIA,SANITARIA,POBLACIÓN EN GENERAL,1,163,FINALIZADO
63,2014,FLORIDA ESTE,Mejoramiento de iluminación,Mejoramiento de iluminación ,"Manzana comprendida en Roca, V Liniers, Urquiza y J M Paz","-34.53027279,-58.48927525",   89660   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,20,FINALIZADO
64,2014,FLORIDA ESTE,Obra hidráulica: conductos y sumideros,Obra hidráulica: conductos y sumideros,Italia y D F Sarmiento,"-34.52049351,-58.48747537",   600000   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,HIDRÁULICA,POBLACIÓN EN GENERAL,1,162,FINALIZADO
65,2014,FLORIDA ESTE,Paseo Cultural Federico Garcia Lorca,Creación del Paseo Cultural Federico Garcia Lorca,Aristóbulo del Valle 1685,"-34.5373588,-58.4792873",   326720   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,PLAZAS Y PASEOS,POBLACIÓN EN GENERAL,1,232,FINALIZADO
66,2014,FLORIDA ESTE,Reducidores de velocidad ,Colocación de reducidores de velocidad,Malaver 3100 y Panamericana / Malaver 1400 y Av. Maipu 2000,"-34.518257, -58.486399",   47154   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,19,FINALIZADO
67,2014,FLORIDA OESTE,Obras complementarias al retén de Plaza La Paz ,Asignar el total del presupuesto correspondiente al Foro Vecinal de Florida Oeste para 2014 a obras para paliar el efecto de posibles inundaciones,H Yrigoyen y Posadas,"-34.5400048,-58.5244801",   1933000   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,HIDRÁULICA,POBLACIÓN EN GENERAL,1,323,FINALIZADO
68,2014,LA LUCILA,Bombas depresoras con cajas antivandalismo,Plan de reparación y/o reposición de 15 bombas depresoras con cajas antivandalismo,Ubicación random dentro del barrio,"-34.501678, -58.490475",   739485   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,HIDRÁULICA,POBLACIÓN EN GENERAL,1,156,FINALIZADO
69,2014,LA LUCILA,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,Colocación de 8 cámaras de vigilancia urbana ,José Ingenieros y Rioja - Elflein entre Debenedetti y Díaz Vélez - Paraná y Elflein y Acassuso y Tucumán - Av Maipú 3200-4000,"-34.4976063,-58.4902522",   291187   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,178,FINALIZADO
70,2014,LA LUCILA,Campaña educativa en higiene urbana y reciclado,Campaña educativa en higiene urbana y reciclado,Ubicación random dentro del barrio,"-34.492021, -58.479147",   59969   ,AMBIENTE,AMBIENTE,AMBIENTE,RECICLADO,POBLACIÓN EN GENERAL,2,96,FINALIZADO
71,2014,LA LUCILA,Colocación de semáforo,Colocación de semáforo ,Anchorena y Rawson,"-34.49796733,-58.48916159",   17120   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,54,FINALIZADO
72,2014,LA LUCILA,Colocación de semáforo ,Colocación de semáforo ,Av del Libertador y San Lorenzo,"-34.49962807,-58.48352479",   113364   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,34,FINALIZADO
73,2014,LA LUCILA,Reducidores de velocidad,Colocación de reducidores de velocidad ,Parana 700 y G.Rawson 4000 - G.Rawson 3100 y Roma 700,"-34.5030751,-58.487984",   63736   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,51,FINALIZADO
74,2014,LA LUCILA,Reducidores de velocidad ,Colocación de reducidores de velocidad,Rioja y Doctor José Ingenieros,"-34.5009984,-58.4899168",   7082   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,10,FINALIZADO
75,2014,LA LUCILA,Reserva Ecológica,Iluminación de la Reserva Ecológica: interna y del perímetro (columnas con luminarias y brazos de luminaria de vereda),Eduardo Ramseyer y el Rio ,"-34.4922332,-58.4814344",   220000   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,PLAZAS Y PASEOS,POBLACIÓN EN GENERAL,1,S/D,FINALIZADO
76,2014,MUNRO,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,Ubicación random dentro del barrio,"-34.523745, -58.521264",   85490   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,234,FINALIZADO
77,2014,MUNRO,Campaña educativa en higiene urbana y reciclado,Campaña educativa en higiene urbana y reciclado,Ubicación random dentro del barrio,"-34.522472, -58.520234",   60052   ,AMBIENTE,AMBIENTE,AMBIENTE,RECICLADO,POBLACIÓN EN GENERAL,2,89,FINALIZADO
78,2014,MUNRO,Colocación de semáforo y mejoramiento de iluminación,Colocación de semáforo y mejoramiento de iluminación,Sargento Cabral y Ugarte,"-34.5267069,-58.5190235",   97748   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,44,FINALIZADO
79,2014,MUNRO,Construcción de sendero asfáltico,Construcción de sendero asfáltico,Santa Cruz 2500 y Zapiola 6000 hasta Santa Cruz 2300 y Neuquén 5800,"-34.5397004,-58.5388114",   219517   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,VEREDAS,POBLACIÓN EN GENERAL,1,26,FINALIZADO
80,2014,MUNRO,Coro Municipal de Niños,Creación de un coro municipal de niños,Lavalle 3281,"-34.5421924,-58.4998055",   107280   ,CULTURA,OTROS,OTROS,CULTURA,NIÑOS,2,10,FINALIZADO
81,2014,MUNRO,Mejoramiento de iluminación,Mejoramiento de iluminación,José Hernández 5100-5200,"-34.53214519,-58.52975187",   29980   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,67,FINALIZADO
82,2014,MUNRO,Mejoramiento de iluminación y cámara de seguridad,Mejoramiento de iluminación y cámara de seguridad,Esquiú y Hernández ,"-34.53422204,-58.53525364",   48630   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,73,FINALIZADO
83,2014,MUNRO,Realización de obras para paliar el efecto de posibles inundaciones,Construcción de sumideros,Villate y Matheu,"-34.5325459,-58.5231044",   1000000   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,HIDRÁULICA,POBLACIÓN EN GENERAL,1,269,FINALIZADO
84,2014,OLIVOS,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,Compra e instalación de cámaras de vigilancia urbana,Ubicación random dentro del barrio,"-34.515797, -58.495329",   163630   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,283,FINALIZADO
85,2014,OLIVOS,Campaña educativa en higiene urbana y reciclado,Campaña educativa en higiene urbana y reciclado,Ubicación random dentro del barrio,"-34.515233, -58.505286",   84419   ,AMBIENTE,AMBIENTE,AMBIENTE,RECICLADO,POBLACIÓN EN GENERAL,2,220,FINALIZADO
86,2014,OLIVOS,Mejoramiento de iluminación,Mejoramiento de iluminación,M Dorrego 2900 y O`Higgins 2300 hasta Blas Parera 3000 y M Dorrego 3500,"-34.4757377,-58.5402963",   28600   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,75,FINALIZADO
87,2014,OLIVOS,Mejoramiento de Iluminación,Mejoramiento de la Iluminación,Alberdi y Av Maipú hasta Alberdi y Wineberg,"-34.5082881,-58.4883145",   68000   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,S/D,FINALIZADO
88,2014,OLIVOS,Mejoramiento de Iluminación,Mejoramiento de la Iluminación,Pelliza y Córdoba hasta Pelliza y el Rio ,"-34.507844,-58.4934297",   183082   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,S/D,FINALIZADO
89,2014,OLIVOS,Mejoramiento de iluminación ,Mejoramiento de iluminación,Ricardo Gutiérrez 1500 y Av Maipú 2600 - Ricardo 3400 y Blas Parera 2700,"-34.5115764,-58.4926555",   137180   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,96,FINALIZADO
90,2014,OLIVOS,Mejoramiento de la accesibilidad ,Construcción de rampas en esquinas,Ubicación random dentro del barrio,"-34.508795, -58.490524",   449884   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,RAMPAS,POBLACIÓN EN GENERAL,1,143,FINALIZADO
91,2014,OLIVOS,Reducidores de velocidad,Colocación de reducidores de velocidad,Pacheco y Marconi,"-34.51839206,-58.49649176",   3762   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,15,FINALIZADO
92,2014,OLIVOS,Reducidores de velocidad ,Colocación de reducidores de velocidad,Corrientes 1500  y Av Maipú 2300 hasta Corrientes 600 y Azcuénaga 2300,"-34.5011083,-58.498183",   30403   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,42,FINALIZADO
93,2014,OLIVOS,Reducidores de velocidad ,Colocación de reducidores de velocidad,J Ingenieros 1500 y Av Maipú 3500 hasta J Ingenieros 4000 y Blas Parera 3600,"-34.5144712,-58.5210312",   19103   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,33,FINALIZADO
94,2014,OLIVOS,Reducidores de velocidad ,Colocación de reducidores de velocidad,Av Maipú y Debenedetti hasta Debenedetti y Blas Parera ,"-34.5142283,-58.4911994",   15194   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,23,FINALIZADO
95,2014,OLIVOS,Reducidores de velocidad  ,Colocación de Reducidores de velocidad,Bouchard 3900 hasta 1500,"-34.50420754,-58.50699187",   95020   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,52,FINALIZADO
96,2014,VICENTE LÓPEZ,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,Compra e instalación de 2 cámaras domo,Ubicación random dentro del barrio,"-34.526519, -58.474388",   113535   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,25,FINALIZADO
97,2014,VICENTE LÓPEZ,Campaña educativa en higiene urbana y reciclado,Campaña educativa en higiene urbana y reciclado,Ubicación random dentro del barrio,"-34.522206, -58.482457",   27557   ,AMBIENTE,AMBIENTE,AMBIENTE,RECICLADO,POBLACIÓN EN GENERAL,2,39,FINALIZADO
98,2014,VICENTE LÓPEZ,Centro Comercial de VICENTE LÓPEZ,Colocación de dispensadores en el Centro Comercial de VICENTE LÓPEZpara descartar el excremento de los perros,Roca y Tapiales ,"-34.5230133,-58.4767938",   26500   ,AMBIENTE,AMBIENTE,AMBIENTE,SALUD,POBLACIÓN EN GENERAL,2,31,FINALIZADO
99,2014,VICENTE LÓPEZ,Jardin de Infantes Nº 901,Reparación de veredas ,25 de mayo 1540,"-34.5231108,-58.4830545",   62023   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,VEREDAS,POBLACIÓN EN GENERAL,1,58,FINALIZADO
100,2014,VICENTE LÓPEZ,Mejoramiento de iluminación,Mejoramiento de iluminación,Laprida y Libertador hasta Laprida y Av Maipú,"-34.5354351,-58.4801475",   130000   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,19,FINALIZADO
101,2014,VICENTE LÓPEZ,Mejoramiento de iluminación,Mejoramiento de iluminación (entró como agregado y se amplió de G Campos hasta Maipú) ,H Yrigoyen y Av. Libertador hasta H Yrigoyen y Av Maipú,"-34.6101459,-58.3896314",   160258   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,S/D,FINALIZADO
102,2014,VICENTE LÓPEZ,Paseo de La Costa,Reemplazo de las estaciones de juegos infantiles y agregado de juegos inclusivos,Raúl Alfonsin y Güemes,"-34.5250417,-58.4703177",   932721   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,PLAZAS Y PASEOS,NIÑOS,1,27,FINALIZADO
103,2014,VICENTE LÓPEZ,Plantar árboles,Plantar árboles,Av Libertador hasta el Rio,"-34.5308299,-58.4720128",   15553   ,AMBIENTE,AMBIENTE,AMBIENTE,ARBOLADO,POBLACIÓN EN GENERAL,1,28,FINALIZADO
104,2014,VILLA ADELINA,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,Colocación de 4 cámaras de vigilancia urbana,Gobernador Castro y Santiago del Estero. Primera Junta 3400-4000,"-34.522054, -58.542442",   148774   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,147,FINALIZADO
105,2014,VILLA ADELINA,Campaña educativa en higiene urbana y reciclado,Campaña educativa en higiene urbana y reciclado,Ubicación random dentro del barrio,"-34.524847, -58.542399",   37869   ,AMBIENTE,AMBIENTE,AMBIENTE,RECICLADO,POBLACIÓN EN GENERAL,2,47,FINALIZADO
106,2014,VILLA ADELINA,Colocación de semáforo,Colocación de semáforo,Grierson y Santiago del Estero,"-34.5204407,-58.5388107",   70454   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,9,FINALIZADO
107,2014,VILLA ADELINA,Colocación de semáforo ,Colocación de semáforo ,Ricardo Rojas y Parana,"-34.522756, -58.544990",   80288   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,14,FINALIZADO
108,2014,VILLA ADELINA,Mejoramiento de iluminación,Mejoramiento de iluminación ,Santa Fe 5900 al 6900 (desde las vías del FFCC Belgrano hasta Primera Junta),"-34.52710224,-58.54815317",   85950   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,69,FINALIZADO
109,2014,VILLA ADELINA,Plan de reforestación,Reposición de árboles ,Ubicación random dentro del barrio,"-34.517301, -58.551853",   9484   ,AMBIENTE,AMBIENTE,AMBIENTE,ARBOLADO,POBLACIÓN EN GENERAL,1,43,FINALIZADO
110,2014,VILLA ADELINA,Plaza Eduardo Ader,"Puesta en Valor: Construcción de playón para deportes, Colocación de estaciones de gimnasia y de juegos integradores para niños, mejoramiento de iluminación, reforestación, cartelería y renovación de mobiliario ",Triunvirato y Santiago del Estero,"-34.535421, -58.554010",   1488648   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,PLAZAS Y PASEOS,POBLACIÓN EN GENERAL,1,99,FINALIZADO
111,2014,VILLA ADELINA,Plaza Eduardo Ader ,"Construcción de una dársena para estacionamiento de móviles policiales y municipales en el Destacamento Policial,consagrada al Soldado Argentino.",Triunvirato y Santiago del Estero,"-34.5302314,-58.5520492",   35500   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD,POBLACIÓN EN GENERAL,1,18,FINALIZADO
112,2014,VILLA ADELINA,Reducidores de velocidad ,"Colocación de reducidores de velocidad, acompañados de señalética correspondiente",Santa fe y Cerrito ,"-34.5288047,-58.5523954",   4250   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,23,FINALIZADO
113,2014,VILLA MARTELLI,Barrio Habana ,Instalación 3 sectores de juegos infantiles con piso antigolpes en espacios verdes  ,Habana y Venezuela,"-34.5561125,-58.5191571",   302106   ,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA EN DEPORTES Y RECREACIÓN,RECREACIÓN,NIÑOS DE POBLACIÓN VULNERABLE,1,75,FINALIZADO
114,2014,VILLA MARTELLI,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,Compra e instalación de 2 cámaras domo,Ubicación random dentro del barrio,"-34.552397, -58.503934",   42745   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,335,FINALIZADO
115,2014,VILLA MARTELLI,Campaña educativa en higiene urbana y reciclado,Campaña educativa en higiene urbana y reciclado,Ubicación random dentro del barrio,"-34.552045, -58.511401",   65762   ,AMBIENTE,AMBIENTE,AMBIENTE,RECICLADO,POBLACIÓN EN GENERAL,2,118,FINALIZADO
116,2014,VILLA MARTELLI,Corte de raíces y reparación de veredas ,Corte de raíces y reparación de veredas (según grado de deterioro),Ubicación random dentro del barrio,"-34.545186, -58.502991",   500000   ,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,VEREDAS,POBLACIÓN EN GENERAL,1,257,FINALIZADO
117,2014,VILLA MARTELLI,Reducidores de velocidad ,Reducidores de velocidad,Méjico 3600 y EE UU al 100 hasta Méjico 5300 y Av de los Constituyentes 0 - 100,"-34.5487391,-58.5034557",   23860   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,77,FINALIZADO
118,2014,VILLA MARTELLI,Reparación y bacheo,Reparación y bacheo (prioridad por nivel de deterioro),Echeverria 200 y Laprida 3100 al 5300 hasta Constituyentes 300,"-34.544695, -58.496768",   997899   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,132,FINALIZADO
119,2015,CARAPACHAY,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,Compra e instalación de 16 cámaras fijas y domo,Ubicación random dentro del barrio,"-34.526440, -58.530548",   1004580   ,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,277,FINALIZADO
